PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
1,312390195,136074282,C1CC(C1)(C2=CC=C(C=C2)C3=CN=C(N=C3)N)C4=NOC(=N4)C5=CNN=C5,Unspecified,,,,Solubility,=,0.4,ug.mL-1,,
2,312390196,68075361,CN1C=C(C=N1)C2=NC(=NO2)C3(CCC3)C4=CC=C(C=C4)C5=CN=C(N=C5)N,Unspecified,,,,Solubility,=,0.03,ug.mL-1,,Outside typical range
3,312390197,68075551,C1CC(C1)(C2=CC=C(C=C2)C3=CN=C(N=C3)N)C4=NOC(=N4)C5=CN(N=C5)CC(=O)O,Inconclusive,,,Potential missing data,solubility,,,,Not Determined,
4,312390198,68074998,COCCN1C=C(C=N1)C2=NC(=NO2)C3(CCC3)C4=CC=C(C=C4)C5=CN=C(N=C5)N,Unspecified,,,,Solubility,=,9.3,ug.mL-1,,
5,312390276,66780354,C1CC(C1)(C2=CC=C(C=C2)C3=CN=C(N=C3)N)C4=NOC(=N4)C5=CN(N=C5)CCN,Inconclusive,,,Potential missing data,solubility,,,,Not Determined,
6,312390277,68074963,CN(C)CCN1C=C(C=N1)C2=NC(=NO2)C3(CCC3)C4=CC=C(C=C4)C5=CN=C(N=C5)N,Unspecified,,,,Solubility,=,270,ug.mL-1,,
7,312390278,68074990,CN(C)C(=O)CN1C=C(C=N1)C2=NC(=NO2)C3(CCC3)C4=CC=C(C=C4)C5=CN=C(N=C5)N,Unspecified,,,,Solubility,=,20,ug.mL-1,,
8,312390279,68075088,CC(C)(CN1C=C(C=N1)C2=NC(=NO2)C3(CCC3)C4=CC=C(C=C4)C5=CN=C(N=C5)N)O,Unspecified,,,,Solubility,=,3.1,ug.mL-1,,
9,312390293,66764813,C[C@@](C1CC1)(C2=CC=C(C=C2)C3=CN=C(N=C3)N)C4=NOC(=N4)C5=CN(N=C5)CC(=O)N(C)C,Unspecified,,,,Solubility,=,48,ug.mL-1,,
10,312390298,56838888,C[C@@](C1CC1)(C2=CC=C(C=C2)C3=CN=C(N=C3)N)C4=NOC(=N4)C5=CN(N=C5)CCN(C)C,Unspecified,,,,Solubility,>,1100,ug.mL-1,,
11,312390299,56838673,C[C@@](C1CC1)(C2=CC=C(C=C2)C3=CN=C(N=C3)N)C4=NOC(=N4)C5=CN(N=C5)CC(C)(C)O,Unspecified,,,,Solubility,=,32,ug.mL-1,,
