PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Active,,,,2.5,IC50,=,2500,nM,
2,103507426,3218,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,Active,,,,3.5,IC50,=,3500,nM,
3,103507434,23646340,CCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,Unspecified,,,,10,IC50,>,10000,nM,
4,103579891,100659,CCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,Active,,,,4.7,IC50,=,4700,nM,
5,103579892,4187769,CCCCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,Unspecified,,,,10,IC50,>,10000,nM,
6,103581257,171489,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O,Active,,,,1.3,IC50,=,1300,nM,
7,194141352,46189193,CCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)OC,Active,,,,1.7,IC50,=,1700,nM,
8,194170572,167846,CCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O,Active,,,,2.3,IC50,=,2300,nM,
9,194175794,46189196,CCCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O,Active,,,,0.49,IC50,=,490,nM,
10,194178734,5086864,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)OC,Active,,,,0.59,IC50,=,590,nM,
11,242636556,72195592,CCCCCCC1=C(C(=O)C=C(C1=O)O)O,Unspecified,,,,10,IC50,>,10000,nM,
12,312388917,72195591,CCCCC1=C(C(=O)C=C(C1=O)O)O,Unspecified,,,,10,IC50,>,10000,nM,
13,312388918,118733904,CCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,Active,,,,7.1,IC50,=,7100,nM,
14,312388919,80074,CCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,Active,,,,3.9,IC50,=,3900,nM,
15,312388920,118733905,CCCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,Active,,,,5.1,IC50,=,5100,nM,
16,312388921,118733906,CCCCCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,Unspecified,,,,10,IC50,>,10000,nM,
17,312388922,118733907,CC(=CCC/C(=C/CC1=C(C(=O)C=C(C1=O)O)O)/C)C,Unspecified,,,,10,IC50,>,10000,nM,
18,312388923,15379534,CC(=CCC/C(=C/CC/C(=C/CC1=C(C(=O)C=C(C1=O)O)O)/C)/C)C,Unspecified,,,,10,IC50,>,10000,nM,
19,312388924,118733908,CCCCC1=C(C(=O)C=C(C1=O)OC)O,Unspecified,,,,10,IC50,>,10000,nM,
20,312388925,118733909,CCCCCCC1=C(C(=O)C=C(C1=O)OC)O,Unspecified,,,,10,IC50,>,10000,nM,
21,312388926,118733910,CCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O,Unspecified,,,,10,IC50,>,10000,nM,
22,312388927,46189195,CCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O,Active,,,,2.7,IC50,=,2700,nM,
23,312388928,118733911,CCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O,Active,,,,1.1,IC50,=,1100,nM,
24,312388929,4984595,CCCCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O,Active,,,,0.86,IC50,=,860,nM,
25,312388930,5318477,CCCCCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O,Active,,,,1.1,IC50,=,1100,nM,
26,312388931,118733912,CC(=CCC/C(=C/CC1=C(C(=O)C=C(C1=O)OC)O)/C)C,Unspecified,,,,10,IC50,>,10000,nM,
27,312388932,118733913,CC(=CCC/C(=C/CC/C(=C/CC1=C(C(=O)C=C(C1=O)OC)O)/C)/C)C,Active,,,,2.4,IC50,=,2400,nM,
28,312388933,118733914,CCCCC1=C(C(=O)C=C(C1=O)OC)OC,Active,,,,7.9,IC50,=,7900,nM,
29,312388934,118733915,CCCCCCC1=C(C(=O)C=C(C1=O)OC)OC,Active,,,,1.4,IC50,=,1400,nM,
30,312388935,118733916,CCCCCCCCC1=C(C(=O)C=C(C1=O)OC)OC,Active,,,,0.57,IC50,=,570,nM,
31,312389104,118734013,CCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)OC,Active,,,,0.49,IC50,=,490,nM,
32,312389105,145696,CCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)OC,Active,,,,0.31,IC50,=,310,nM,
33,312389106,46189194,CCCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)OC,Active,,,,1.4,IC50,=,1400,nM,
34,312389107,13833994,CCCCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)OC,Active,,,,0.86,IC50,=,860,nM,
35,312389108,117872651,CCCCCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)OC,Active,,,,3.5,IC50,=,3500,nM,
36,312389109,118734014,CC(=CCC/C(=C/CC1=C(C(=O)C=C(C1=O)OC)OC)/C)C,Active,,,,1.6,IC50,=,1600,nM,
37,312389110,118734015,CC(=CCC/C(=C/CC/C(=C/CC1=C(C(=O)C=C(C1=O)OC)OC)/C)/C)C,Active,,,,1.2,IC50,=,1200,nM,
38,312389111,17968847,CCCCC1=C(C(=CC(=O)C1=O)OC)OC,Active,,,,5.1,IC50,=,5100,nM,
39,312389112,118734016,CCCCCCC1=C(C(=CC(=O)C1=O)OC)OC,Active,,,,0.99,IC50,=,990,nM,
40,312389113,118734017,CCCCCCCCC1=C(C(=CC(=O)C1=O)OC)OC,Active,,,,0.82,IC50,=,820,nM,
41,312389114,118734018,CCCCCCCCCCC1=C(C(=CC(=O)C1=O)OC)OC,Active,,,,0.07,IC50,=,70,nM,
