PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Active,,,Potential missing data,Inhibition,%,Active
2,103323115,5281787,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC(=C(C=C2)O)O,Active,,,Potential missing data,Inhibition,%,Active
3,440116105,155226845,C1=CC=C(C=C1)CCCOC(=O)/C=C/C2=C(C(=CC=C2)O)O,Active,,,Potential missing data,Inhibition,%,Active
4,440116983,138558216,C1=CC=C(C=C1)CCCOC(=O)/C=C/C2=C(C=C(C=C2)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
5,440154873,137442385,C1=CC=C(C=C1)CCOC(=O)C2=C(C=CC(=C2)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
6,440206823,155226852,C1=CC=C(C=C1)CCCOC(=O)/C=C/C2=C(C=CC(=C2)O)O,Active,,,Potential missing data,Inhibition,%,Active
7,440211169,155562130,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=C(C(=CC=C2)O)O,Active,,,Potential missing data,Inhibition,%,Active
8,440218752,155565163,C1=CC=C(C=C1)CCC(=O)/C=C/C2=C(C=CC(=C2)O)O,Active,,,Potential missing data,Inhibition,%,Active
