PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
1,103164944,338,C1=CC=C(C(=C1)C(=O)O)O,Unspecified,,,,Inhibition,=,14,%,
2,103176224,460,COC1=CC=CC=C1O,Unspecified,,,,Inhibition,=,4,%,
3,103179169,6269,CC1=CC=C(C=C1)S(=O)(=O)N,Unspecified,,,,Inhibition,=,9,%,
4,103193195,1066,C1=CC(=C(N=C1)C(=O)O)C(=O)O,Unspecified,,,,Inhibition,=,14,%,
5,103193973,3840,C1=C(OC=C(C1=O)O)CO,Unspecified,,,,Inhibition,=,51,%,
6,103194151,10367,C1=CC(=NC(=C1)C(=O)O)C(=O)O,Unspecified,,,,Inhibition,=,17,%,
7,103194680,3442,CCCCC1=CN=C(C=C1)C(=O)O,Unspecified,,,,Inhibition,=,47,%,
8,103196138,289,C1=CC=C(C(=C1)O)O,Unspecified,,,,Inhibition,=,31,%,
9,103196311,5147,C1=CC=C(C(=C1)C(=O)N)O,Unspecified,,,,Inhibition,=,24,%,
10,103198538,1990,CC(=O)NO,Unspecified,,,,Inhibition,=,5,%,
11,103202970,8369,CC1=C(C(=O)C=CO1)O,Unspecified,,,,Inhibition,=,19,%,
12,103211071,72,C1=CC(=C(C=C1C(=O)O)O)O,Unspecified,,,,Inhibition,=,13,%,
13,103214027,1318,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,Unspecified,,,,Inhibition,=,100,%,
14,103222624,28115,C1=CNC(=O)C(=C1)O,Unspecified,,,,Inhibition,=,7,%,
15,103231852,3611,CC(C)C1=CC(=O)C(=CC=C1)O,Unspecified,,,,Inhibition,=,100,%,
16,103232508,88026,CN1C=CC=C(C1=O)O,Unspecified,,,,Inhibition,=,13,%,
17,103240284,201887,CC(C)C1=C(C(=CC=C1)C(=O)O)O,Unspecified,,,,Inhibition,=,3,%,
18,103266365,98471,CC(=O)C1CCCC1=O,Unspecified,,,,Inhibition,=,37,%,
19,103267029,86322,CCC1=C(C(=O)C=CN1CC)O,Unspecified,,,,Inhibition,=,31,%,
20,103267491,94413,CCN1C=CC(=O)C(=C1C)O,Unspecified,,,,Inhibition,=,29,%,
21,103271089,69986,C1=CC=[N+](C(=C1)C(=O)O)[O-],Unspecified,,,,Inhibition,=,21,%,
22,103271212,1018,C1=CC=NC(=C1)C(=O)O,Unspecified,,,,Inhibition,=,30,%,
23,103283642,86320,CCC1=C(C(=O)C=CN1C)O,Unspecified,,,,Inhibition,=,34,%,
24,103283939,68129,C1=COC=C(C1=O)O,Unspecified,,,,Inhibition,=,43,%,
25,103284327,1923,C1=CC2=C(C(=C1)O)N=CC=C2,Unspecified,,,,Inhibition,=,92,%,
26,103284472,69975,C1=CC(=O)N(C=C1)O,Unspecified,,,,Inhibition,=,42,%,
27,103296969,7493,C1=CC(=NC=C1C(=O)O)C(=O)O,Unspecified,,,,Inhibition,=,-1,%,
28,103301413,1491,C1=CC(=C(C=C1O)O)C(=O)O,Unspecified,,,,Inhibition,=,-1,%,
29,103310841,13224,CC1=NC2=C(C=CC=C2O)C=C1,Unspecified,,,,Inhibition,=,63,%,
30,103313448,11359,C1=CC2=C(C(=C1)N)N=CC=C2,Unspecified,,,,Inhibition,=,61,%,
31,103340993,4649,C1=CC(=C(C=C1N)O)C(=O)O,Unspecified,,,,Inhibition,=,8,%,
32,103343305,4653788,C1=CC2=C(C(=C1)O)N=C(C=C2)N,Unspecified,,,,Inhibition,=,91,%,
33,103346696,23642,COC1=CC=CC=C1S,Unspecified,,,,Inhibition,=,26,%,
34,103349735,21059,CCC1=C(C(=O)C=CO1)O,Unspecified,,,,Inhibition,=,34,%,
35,103350145,69521,CC1=CC(=O)C(=CO1)O,Unspecified,,,,Inhibition,=,31,%,
36,103350545,10789,C1=CC=C(C(=O)C=C1)O,Unspecified,,,,Inhibition,=,100,%,
37,103394696,1269845,C1=CNC(=S)NC1=O,Unspecified,,,,Inhibition,=,37,%,
38,103456050,6038,C1=CC=C2C(=C1)C=CC(=O)N2,Unspecified,,,,Inhibition,=,33,%,
39,103462657,31261,CC(=O)CC(=O)C,Unspecified,,,,Inhibition,=,-6,%,
40,103481434,11318,C1=CC=C2C(=C1)C=CC(=C2O)O,Unspecified,,,,Inhibition,=,100,%,
41,103509258,19,C1=CC(=C(C(=C1)O)O)C(=O)O,Unspecified,,,,Inhibition,=,10,%,
42,103512818,2817,C1=CC2=C(C=CC(=C2N=C1)O)Cl,Unspecified,,,,Inhibition,=,73,%,
43,103517679,190,C1=NC2=NC=NC(=C2N1)N,Unspecified,,,,Inhibition,=,9,%,
44,103518879,67658,C1=CC(=C(C=C1F)C(=O)O)O,Unspecified,,,,Inhibition,=,-1,%,
45,103529700,3469,C1=CC(=C(C=C1O)C(=O)O)O,Unspecified,,,,Inhibition,=,1,%,
46,103544392,6755,C1=CC=C2C(=C1)C(=CC(=O)C2=O)O,Unspecified,,,,Inhibition,=,86,%,
47,103582362,9338,C1=CC(=C(C(=C1)O)C(=O)O)O,Unspecified,,,,Inhibition,=,-5,%,
48,103620494,12473,C1=CNC(=C1)C(=O)O,Unspecified,,,,Inhibition,=,-24,%,Outside typical range
49,103648294,6738,CC1=C(C(=CC=C1)C(=O)O)O,Unspecified,,,,Inhibition,=,18,%,
50,103655364,82051,C1=C(OC=C(C1=O)O)CCl,Unspecified,,,,Inhibition,=,59,%,
51,103655365,10511097,CC1=CC(=O)C(=C(O1)CO)O,Unspecified,,,,Inhibition,=,53,%,
52,103760645,7124,C1=CC=C2C(=C1)C=CC(=N2)C(=O)O,Unspecified,,,,Inhibition,=,29,%,
53,103761098,6973,CC1=CC(=C(C=C1)O)C(=O)O,Unspecified,,,,Inhibition,=,26,%,
54,104250485,13401,C1=CC(=C(N=C1)C(=O)O)O,Unspecified,,,,Inhibition,=,56,%,
55,104251717,151506,CS(=O)(=O)NC1=CC=CC2=C1N=CC=C2,Unspecified,,,,Inhibition,=,75,%,
56,123094097,135408763,C1=C(N=C(NC1=O)N)N,Unspecified,,,,Inhibition,=,4,%,
57,124956036,15553,C1=CC(=NC(=C1Cl)C(=O)O)Cl,Unspecified,,,,Inhibition,=,18,%,
58,124956037,53316616,CC1=CC(=O)C(=C(O1)CCl)O,Unspecified,,,,Inhibition,=,47,%,
59,124956080,68130,C1=COC(=O)C(=C1)O,Unspecified,,,,Inhibition,=,68,%,
60,124956081,73759,C1=CC=NC(=C1)CNCC2=CC=CC=N2,Unspecified,,,,Inhibition,=,100,%,
61,124956082,69949,CC(C(=O)C)C(=O)C,Unspecified,,,,Inhibition,=,3,%,
62,124956083,73761,CCC(C(=O)C)C(=O)C,Unspecified,,,,Inhibition,=,3,%,
63,124958647,68401,C1=CNC(=O)N=C1,Unspecified,,,,Inhibition,=,100,%,
64,124958648,2734394,C1=CNC(=O)NC1=S,Unspecified,,,,Inhibition,=,83,%,
65,124958649,96031,CC1=C(NC(=O)NC1=O)C,Unspecified,,,,Inhibition,=,2,%,
66,124958701,53317936,CCN1C=CC(=S)C(=C1C)O,Unspecified,,,,Inhibition,=,93,%,
67,124961268,14312,C1=CC2=C(C(=C1)O)[N+](=CC=C2)[O-],Unspecified,,,,Inhibition,=,64,%,
68,124961269,1268265,C1=C(NC(=S)NC1=O)O,Unspecified,,,,Inhibition,=,25,%,
69,124961325,13269,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3O2)O,Unspecified,,,,Inhibition,=,28,%,
70,124963244,3751472,CN1C=CC=C(C1=S)O,Unspecified,,,,Inhibition,=,96,%,
71,124963575,74079,C1=CC2=C(C(=C1)O)N=C(C=C2)C(=O)O,Unspecified,,,,Inhibition,=,88,%,
72,124965628,11084106,C1=CC(=O)N(C(=C1)C(=O)O)O,Unspecified,,,,Inhibition,=,89,%,
73,124965629,11160239,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,Unspecified,,,,Inhibition,=,100,%,
