PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 12.3 uM,Standard Deviation,Inhibition at 12.3 uM [1],Inhibition at 12.3 uM [2],Inhibition at 12.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 12.3 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,12.3,,12.3,12.3,12.3
1,85148376,5362065,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Active,99,,,88.64,1.45127,90.6588,87.9484,87.3116
2,11532930,92199,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(CP(=O)(O)O)O)O)O)N,Active,88,,,78.67,2.08905,76.1715,81.2842,78.5448
3,93577542,45479905,CC(C)(C1=C(N=CC=C1)C#N)C(=O)OC,Active,86,,,76.82,2.39468,79.4734,77.3044,73.6691
4,144089633,60156649,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)[C@@H]2C=C[C@@H](CN2C(=O)C)C(C(=O)OC)C(=O)OC,Active,86,,,76.47,1.70564,76.2886,78.6489,74.4833
5,24840138,2355982,C1C(=O)N(C(=S)S1)NC(=O)C(=O)NN2C(=O)CSC2=S,Active,80,,,71.34,1.42138,70.0136,73.313,70.7006
6,24841228,3844407,C1=C(C=C(C(=C1N)O)[N+](=O)[O-])S(=O)(=O)O,Active,72,,,64.33,2.18329,61.87,63.949,67.1767
7,50086733,16396156,CC[NH+](CC)CC.C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)[O-])O)O)N,Active,62,,,55.01,2.12817,56.2036,56.8002,52.017
8,57260113,25162923,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N.C(C(CO)(CO)N)O.O,Active,61,,,54.36,2.22206,51.2251,55.7466,56.11
9,26663487,5994065,C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)C(CC(=O)O)C(=O)O,Active,59,,,52.45,0.890264,53.6368,52.223,51.492
10,14730721,254021,C1=CC=C2C(=C1)C3=C(C=C(C=C3)N)C(=O)C2=O,Active,57,,,50.8,2.41571,54.182,49.5624,48.6699
11,121283339,72810,C1=CC2=C(C3=C(C=CC=N3)C(=O)C2=O)N=C1,Active,57,,,50.74,0.440609,51.3043,50.2289,50.6883
12,47203861,3101746,CC1=CC(=C2C(=N1)C(=CC(=O)C2=O)N3CCOCC3)C(=O)OC,Active,55,,,48.91,2.85445,47.3193,52.9167,46.4894
13,47197614,2965985,CCOC1=CC(=CC(=C1O)C(C2=C(NC3=CC=CC=C32)C(=O)O)C4=C(NC5=CC=CC=C54)C(=O)O)Br,Active,54,,,48.07,3.31296,45.2625,46.2325,52.7249
14,50086848,6419976,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N.O,Active,53,,,47.83,1.41487,45.8832,49.2007,48.4104
15,144089635,60156651,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)[C@@H]2C=C[C@@H](CN2C(=O)C)C3=CNC4=CC=CC=C43,Active,53,,,47.66,1.30988,45.8982,48.0494,49.0354
16,24809205,3164059,CCCC1=NN(C2=NC(=O)N(C(=O)C2=N1)C)C,Active,48,,,43.43,4.06397,45.0227,37.8492,47.4131
17,50085435,6763,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,Active,48,,,42.94,0.393163,42.4012,43.0751,43.334
18,49825111,6237926,C1=COC(=C1)/C=C\2/C(=O)N(C(=S)S2)CC(=O)NC3=CC(=C(C=C3)C(=O)O)O,Active,45,,,40.15,2.89264,36.0601,42.0432,42.3388
19,92764458,400634,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=C(I)I,Active,44,,,39.13,1.29579,40.9209,37.8909,38.5874
20,144089634,60156650,CC[C@@H]1CN([C@@H](C=C1)C(=O)NS(=O)(=O)C2=CC=C(C=C2)C)C(=O)C,Active,43,,,38.3,2.12871,39.514,35.3037,40.0728
21,49724909,16247853,COC1=CC=C(C=C1)CCNCC2=C(C=CC3=CC=CC=C32)OC.C(=O)(C(=O)O)O,Active,41,,,36.74,3.92472,31.1959,39.6706,39.3639
22,49822459,6237665,C1=COC(=C1)/C=C\2/C(=O)N(C(=S)S2)CC(=O)NC3=CC(=C(C=C3)O)C(=O)O,Active,41,,,36.46,1.79284,36.5952,38.5875,34.202
23,92764518,406008,CCOC(=O)C1=C(N(C2=C1C3=CC=CC=C3C(=O)C2=O)CC4=CC=CC=C4)C,Active,40,,,36.14,3.56931,31.3907,39.998,37.0234
24,49822503,6533011,CC(C(=O)NC1=CC(=C(C=C1)O)C(=O)O)N2C(=O)/C(=C/C3=CC=CO3)/SC2=S,Active,40,,,35.8,1.08833,34.545,35.6574,37.1993
25,24788424,906542,CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=N3)C,Active,36,,,32.47,1.92082,31.3676,30.8647,35.1675
26,24823295,5335985,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C=C\2/C(=O)NC(=S)S2,Active,36,,,32.46,4.02986,37.9603,30.9882,28.4227
27,136948556,56846571,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[Na+],Active,36,,,32.02,2.21455,31.7497,34.8587,29.4546
28,47197673,2966176,C1=CC=C2C(=C1)C(=C(N2)C(=O)O)C(C3=C(C(=CC(=C3)Cl)[N+](=O)[O-])O)C4=C(NC5=CC=CC=C54)C(=O)O,Active,35,,,31.26,1.07928,31.0414,32.6844,30.0692
29,26665710,135403797,C1=CC2=CC(=C(C(=C2C(=O)C(=C1)O)O)O)O,Active,34,,,30.37,1.02495,30.9951,28.927,31.1938
30,24837215,5680788,C1=CC=C2C(=C1)/C(=N\S(=O)(=O)C3=CC=CS3)/C=C(C2=O)NC4=CC=C(C=C4)O,Active,32,,,29.13,1.3518,29.8972,27.2337,30.2691
31,24823069,4014500,C1=CC(=CC(=C1)N=NC2=CC(=C(C=C2)O)C=O)C(=O)O,Active,32,,,29.12,0.211034,29.2115,28.8341,29.3287
32,17509616,12004907,C1=CC=C(C=C1)CSC2=CC=C(O2)/C=C\3/C(=O)NC(=S)S3,Active,32,,,28.52,1.20109,28.9618,26.8812,29.723
33,93576637,16218404,C1=CC2=C(C(=C1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)C4=C([C@@H]2[C@@H]5C6=C(C(=CC=C6)OC7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,Active,31,,,27.9,0.706093,28.0691,26.968,28.6736
34,93577326,274108,C1=CC2=C(C(=C1)C3=C4C=CC(=O)C(=C4OC5=C3C=CC(=C5O)O)O)C(=CC=C2)C(=O)O,Active,31,,,27.71,1.70034,26.2006,30.0873,26.8475
35,57264392,360404,C1=CC=C(C(=C1)C2=C3C=CC(=O)C(=C3OC4=C2C=CC(=C4O)O)O)S(=O)(=O)O,Active,29,,,26.55,0.45247,27.1932,26.2385,26.2284
36,24819726,1478970,C1=CC(=CC(=C1)NC(=O)CS(=O)CC(=O)O)C(F)(F)F,Active,28,,,25.38,2.48865,28.4711,22.3768,25.3031
37,24819912,3789397,C1C(=O)N(CS1=O)C2=CC=C(C=C2)OC3=CC=CC=C3,Active,27,,,24.12,1.51714,22.167,24.3341,25.865
38,49641714,3157416,CC1=C(N2C(C(C2=O)NC(=O)CC3=CC=CC=C3)SC1)C(=O)OCC4=CC=C(C=C4)[N+](=O)[O-],Active,26,,,23.53,1.55348,23.8279,21.4964,25.2666
39,24801104,1201156,C1=COC(=C1)/C=C/2\C(=O)N(C(=S)S2)CCCC(=O)O,Active,26,,,23.11,0.934458,23.532,21.8147,23.984
40,24823589,741770,C1=COC(=C1)/C=C\2/C(=O)C3=C(C2=O)C=C(C=C3)C(=O)O,Active,25,,,22.66,1.43178,20.6487,23.436,23.8857
41,14740907,1839198,C1=COC(=C1)C2=CC(=NN2)C3=NNC(=S)N3C4=CC=C(C=C4)C(=O)O,Active,25,,,22.59,0.977845,21.2641,22.8919,23.5997
42,49666636,1490926,C1C(=O)NC2=CC=CC=C2S1(=O)=O,Active,24,,,21.43,3.78534,25.4956,22.4189,16.3823
43,121283577,340220,C1=CC(=CC=C1S(=O)(=O)CS(=O)(=O)C2=CC=C(C=C2)Br)Br,Active,24,,,21.37,2.78227,20.5157,25.1265,18.4748
44,49648910,1487594,COC1=CC=C(C=C1)CS(=O)(=O)C2=NC=NN2,Active,22,,,20.26,1.15964,19.8601,19.0782,21.8341
45,14742430,6375556,CC(C(=O)O)N1C(=O)/C(=C/C=C/C2=CC=CO2)/SC1=S,Active,22,,,20.09,1.17446,20.2341,21.4451,18.5797
46,49735817,6023693,CC1=CC=CC=C1NC2=C/C(=N\S(=O)(=O)C3=CC=C(C=C3)C(=O)O)/C4=CC=CC=C4C2=O,Active,22,,,19.77,2.56246,23.2604,17.1737,18.89
47,85148653,3417419,C1=CC(=C(C=C1N)[N+](=O)[O-])O,Active,21,,,19.23,1.44357,20.826,17.3306,19.5409
48,49665443,845479,C1=CC(=CC(=C1)NC(=S)NC(=O)/C=C/C2=CC=CO2)C(=O)O,Active,21,,,19.23,1.09022,18.5954,20.762,18.3267
49,89854589,240739,C1=CC2=C(C=C1S(=O)(=O)N)C(=O)C(=C(C2=O)Cl)N,Active,21,,,19.1,2.84038,20.1342,15.2276,21.9528
50,24814503,5998602,C1=CC=C(C=C1)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)C(=O)O,Active,20,,,18.46,1.01153,19.8839,17.8665,17.6294
51,26663247,2044775,C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)CCCC(=O)O,Active,19,,,17.67,0.594996,17.7307,16.9076,18.3608
52,49679877,3728472,C1=CC=C(C(=C1)C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O)[N+](=O)[O-],Active,19,,,17.2,5.14047,20.7372,20.9246,9.92748
53,121283576,340219,C1=CC=C(C(=C1)S(=O)(=O)CS(=O)(=O)C2=CC=CC=C2Br)Br,Active,19,,,17.13,4.32402,13.1686,23.1448,15.0756
54,24838008,4836362,C1=CC=C(C(=C1)C(=O)O)NS(=O)(=O)C2=CC(=C(C=C2)NNC(=S)NC3=CC=C(C=C3)OC(F)F)[N+](=O)[O-],Active,19,,,16.92,1.06805,16.9855,18.1981,15.5842
55,49666861,947839,C1=COC(=C1)/C=C/C(=O)NC(=S)NC2=CC=C(C=C2)C(=O)O,Active,19,,,16.89,1.05183,15.5027,18.0471,17.1258
56,26729315,2744566,CC(C)(C)C1=NN(C(=C1)C(=O)NNC(=O)NC2=CC=CC=C2)CC3=CC=CC=C3,Active,19,,,16.85,1.49674,18.4306,14.8393,17.2736
57,4247784,3241950,CCC1=CC(=CC=C1)NC(=O)CN(C2=CC=C(C=C2)OC)S(=O)(=O)C3=C(NN=C3C)C,Active,18,,,16.38,2.61665,20.028,15.0996,14.015
58,14734687,2844976,C1CCC(=C2C(=O)NC(=S)S2)C1,Active,18,,,16.22,1.48348,15.068,18.3131,15.2746
59,144097197,60159137,CCCNC(=O)C[C@H]1CC[C@H]2[C@H](O1)COC3=C(C=C(C=C3)NC(=O)C4=CN=CS4)C(=O)N2C,Active,18,,,16.03,0.944108,14.7903,16.2357,17.0763
60,47199154,135760718,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)O)C=O)S(=O)(=O)[O-].[Na+],Active,18,,,16.01,1.82644,16.404,18.0202,13.5993
61,4263229,562152,C1=CC=C(C=C1)CNC(=O)C2=NNN=C2C3=CC=CC=C3O,Active,17,,,15.75,0.872039,14.6799,15.7451,16.816
62,144097034,54657116,CCNC(=O)C[C@H]1CC[C@H]2[C@H](O1)COC3=C(C=C(C=C3)NC(=O)C4=CC5=C(C=C4)OCO5)C(=O)N2C,Active,17,,,15.31,2.34316,18.5155,12.9821,14.4285
63,24809736,726126,CS(=O)(=O)C1=NC(=NN1)C2=CC=C(C=C2)Br,Active,16,,,14.71,1.4094,12.9359,14.8185,16.3833
