PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50,LogIC50,Maximal Response,Baseline Response,Inflection Point Concentration,Chi Square,Rsquare,Number of DataPoints,Hill Slope,Response Range,Excluded Points,Inhibition at 0.0062 uM [1],Inhibition at 0.0062 uM [2],Inhibition at 0.0062 uM [3],Inhibition at 0.0062 uM [4],Inhibition at 0.0062 uM [5],Inhibition at 0.0062 uM [6],Inhibition at 0.019 uM [1],Inhibition at 0.019 uM [2],Inhibition at 0.019 uM [3],Inhibition at 0.019 uM [4],Inhibition at 0.019 uM [5],Inhibition at 0.019 uM [6],Inhibition at 0.056 uM [1],Inhibition at 0.056 uM [2],Inhibition at 0.056 uM [3],Inhibition at 0.056 uM [4],Inhibition at 0.056 uM [5],Inhibition at 0.056 uM [6],Inhibition at 0.17 uM [1],Inhibition at 0.17 uM [2],Inhibition at 0.17 uM [3],Inhibition at 0.17 uM [4],Inhibition at 0.17 uM [5],Inhibition at 0.17 uM [6],Inhibition at 0.5 uM [1],Inhibition at 0.5 uM [2],Inhibition at 0.5 uM [3],Inhibition at 0.5 uM [4],Inhibition at 0.5 uM [5],Inhibition at 0.5 uM [6],Inhibition at 1.5 uM [1],Inhibition at 1.5 uM [2],Inhibition at 1.5 uM [3],Inhibition at 1.5 uM [4],Inhibition at 1.5 uM [5],Inhibition at 1.5 uM [6],Inhibition at 4.5 uM [1],Inhibition at 4.5 uM [2],Inhibition at 4.5 uM [3],Inhibition at 4.5 uM [4],Inhibition at 4.5 uM [5],Inhibition at 4.5 uM [6],Inhibition at 13.6 uM [1],Inhibition at 13.6 uM [2],Inhibition at 13.6 uM [3],Inhibition at 13.6 uM [4],Inhibition at 13.6 uM [5],Inhibition at 13.6 uM [6],Inhibition at 40.8 uM [1],Inhibition at 40.8 uM [2],Inhibition at 40.8 uM [3],Inhibition at 40.8 uM [4],Inhibition at 40.8 uM [5],Inhibition at 40.8 uM [6],Inhibition at 122.5 uM [1],Inhibition at 122.5 uM [2],Inhibition at 122.5 uM [3],Inhibition at 122.5 uM [4],Inhibition at 122.5 uM [5],Inhibition at 122.5 uM [6]
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,inhibition Qualifier identifies if the resultant data IC50 came from a fitted curve or was determined manually to be less than or greater than its listed IC50 concentration.,The concentration at which 50 percent of the inhibition in the inhibitor assay is observed; (IC50) shown in micromolar.,Log10 of the qualified IC50 (IC50) from the inhibitor assay in M concentration,The maximal or asymptotic response above the baseline as concentration increases without bound.,"Adjustable baseline of the curve fit, minimal response value.",The concentration value for the inflection point of the curve.,"A measure for the 'goodness' of a fit. The chi-square test (Snedecor and Cochran, 1989) is used to test if a sample of data came from a population with a specific distribution.",This statistic measures how successful the fit explains the variation of the data; R-square is the square of the correlation between the response values and the predicted response values.,Overall number of data points of normalized percent inhibition that was used for calculations (includes all concentration points); in some cases a data point can be excluded as outlier.,"The variable HillSlope describes the steepness of the curve. This variable is called the Hill slope, the slope factor, or the Hill coefficient. If it is positive, the curve increases as X increases. If it is negative, the curve decreases as X increases. A standard sigmoid dose-response curve (previous equation) has a Hill Slope of 1.0. When HillSlope is less than 1.0, the curve is more shallow. When HillSlope is greater than 1.0, the curve is steeper. The Hill slope has no units.",The range of Y.,Flags to indicate which of the dose-response points were excluded from analysis. (1) means the point was excluded and (0) means the point was not excluded.,Value of % inhibition at 0.0062 uM compound concentration; replicate [1],Value of % inhibition at 0.0062 uM compound concentration; replicate [2],Value of % inhibition at 0.0062 uM compound concentration; replicate [3],Value of % inhibition at 0.0062 uM compound concentration; replicate [4],Value of % inhibition at 0.0062 uM compound concentration; replicate [5],Value of % inhibition at 0.0062 uM compound concentration; replicate [6],Value of % inhibition at 0.019 uM compound concentration; replicate [1],Value of % inhibition at 0.019 uM compound concentration; replicate [2],Value of % inhibition at 0.019 uM compound concentration; replicate [3],Value of % inhibition at 0.019 uM compound concentration; replicate [4],Value of % inhibition at 0.019 uM compound concentration; replicate [5],Value of % inhibition at 0.019 uM compound concentration; replicate [6],Value of % inhibition at 0.056 uM compound concentration; replicate [1],Value of % inhibition at 0.056 uM compound concentration; replicate [2],Value of % inhibition at 0.056 uM compound concentration; replicate [3],Value of % inhibition at 0.056 uM compound concentration; replicate [4],Value of % inhibition at 0.056 uM compound concentration; replicate [5],Value of % inhibition at 0.056 uM compound concentration; replicate [6],Value of % inhibition at 0.17 uM compound concentration; replicate [1],Value of % inhibition at 0.17 uM compound concentration; replicate [2],Value of % inhibition at 0.17 uM compound concentration; replicate [3],Value of % inhibition at 0.17 uM compound concentration; replicate [4],Value of % inhibition at 0.17 uM compound concentration; replicate [5],Value of % inhibition at 0.17 uM compound concentration; replicate [6],Value of % inhibition at 0.5 uM compound concentration; replicate [1],Value of % inhibition at 0.5 uM compound concentration; replicate [2],Value of % inhibition at 0.5 uM compound concentration; replicate [3],Value of % inhibition at 0.5 uM compound concentration; replicate [4],Value of % inhibition at 0.5 uM compound concentration; replicate [5],Value of % inhibition at 0.5 uM compound concentration; replicate [6],Value of % inhibition at 1.5 uM compound concentration; replicate [1],Value of % inhibition at 1.5 uM compound concentration; replicate [2],Value of % inhibition at 1.5 uM compound concentration; replicate [3],Value of % inhibition at 1.5 uM compound concentration; replicate [4],Value of % inhibition at 1.5 uM compound concentration; replicate [5],Value of % inhibition at 1.5 uM compound concentration; replicate [6],Value of % inhibition at 4.5 uM compound concentration; replicate [1],Value of % inhibition at 4.5 uM compound concentration; replicate [2],Value of % inhibition at 4.5 uM compound concentration; replicate [3],Value of % inhibition at 4.5 uM compound concentration; replicate [4],Value of % inhibition at 4.5 uM compound concentration; replicate [5],Value of % inhibition at 4.5 uM compound concentration; replicate [6],Value of % inhibition at 13.6 uM compound concentration; replicate [1],Value of % inhibition at 13.6 uM compound concentration; replicate [2],Value of % inhibition at 13.6 uM compound concentration; replicate [3],Value of % inhibition at 13.6 uM compound concentration; replicate [4],Value of % inhibition at 13.6 uM compound concentration; replicate [5],Value of % inhibition at 13.6 uM compound concentration; replicate [6],Value of % inhibition at 40.8 uM compound concentration; replicate [1],Value of % inhibition at 40.8 uM compound concentration; replicate [2],Value of % inhibition at 40.8 uM compound concentration; replicate [3],Value of % inhibition at 40.8 uM compound concentration; replicate [4],Value of % inhibition at 40.8 uM compound concentration; replicate [5],Value of % inhibition at 40.8 uM compound concentration; replicate [6],Value of % inhibition at 122.5 uM compound concentration; replicate [1],Value of % inhibition at 122.5 uM compound concentration; replicate [2],Value of % inhibition at 122.5 uM compound concentration; replicate [3],Value of % inhibition at 122.5 uM compound concentration; replicate [4],Value of % inhibition at 122.5 uM compound concentration; replicate [5],Value of % inhibition at 122.5 uM compound concentration; replicate [6]
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.019,0.019,0.019,0.019,0.019,0.019,0.056,0.056,0.056,0.056,0.056,0.056,0.17,0.17,0.17,0.17,0.17,0.17,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,4.5,4.5,4.5,4.5,4.5,13.6,13.6,13.6,13.6,13.6,13.6,40.8,40.8,40.8,40.8,40.8,40.8,122.5,122.5,122.5,122.5,122.5,122.5
1,85148376,5362065,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Active,100,,,=,1.212,-5.917,83.1887,3.07738,1.195,473.379,0.985351,30,18.3256,80.1113,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-4.3,-3,-2.2,,,,-5.3,-0.2,-4.2,,,,6.5,4.2,3.4,,,,23.9,22.4,17.8,,,,-4.6,-3.6,-4.6,,,,83.8,89,82.6,,,,89.9,89.1,88.6,,,,87.3,83.9,91.8,,,,87.9,85.2,90,,,,79.9,80.9,80.8,,,
2,26663487,5994065,C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)C(CC(=O)O)C(=O)O,Active,96,,,>,1.512,-5.821,,,,,,60,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.2,-1,-4.4,-1.5,-2.8,-1.1,1.1,2.2,2.7,-11.2,-7.7,-1,-0.3,0,-0.6,5.5,5.6,2.6,5.3,-0.3,3.4,6.3,3.7,-3.8,9.4,10.7,13.9,14,15.7,18.1,35.8,34.6,37.1,31,32.4,36.2,51.6,54.6,53.8,63.4,69.7,54,60.5,61.3,59.5,74.8,69.5,94.3,35.6,33,37.7,56.7,59.3,77.4,-35.4,-33.1,-34.3,22.3,3.9,-0.8
3,24809205,3164059,CCCC1=NN(C2=NC(=O)N(C(=O)C2=N1)C)C,Active,96,,,>,1.512,-5.82,,,,,,60,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5,-4.3,-4.5,-5.7,-5.4,-13.8,-2.1,-1.9,-3.7,-14.3,-5.8,-10.1,-6,-5.6,-6.1,-6.2,-7,-2.7,2.7,-4.3,0.2,-3.2,-1.4,-11.4,16.4,14.1,14,12.6,9.6,11.6,47.7,46.8,48.8,48,54.5,62.9,49.8,45.4,50.4,48.3,50,60.3,44.9,46.4,45.4,50.3,48.4,57.9,27.2,25.8,28.1,35.9,25,28.7,-26.2,-43.9,-28.5,-34.1,-37.8,-30.8
4,144089633,60156649,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)[C@@H]2C=C[C@@H](CN2C(=O)C)C(C(=O)OC)C(=O)OC,Active,89,,,=,2.026,-5.693,74.8826,0.348187,1.317,137.372,0.99249,30,1.57034,74.5345,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.5,1.5,-1.3,,,,-3.8,-0.5,0.6,,,,1.4,1.6,1.1,,,,0,3,2.7,,,,16.3,14.6,15.1,,,,40.5,43.1,40.4,,,,62.6,64.9,65,,,,77.6,78.2,80.4,,,,79.7,81.4,79.8,,,,68.3,64.3,65.7,,,
5,11532930,92199,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(CP(=O)(O)O)O)O)O)N,Active,86,,,=,2.198,-5.658,88.8504,-1.83953,1.524,1.70044,0.994802,30,0.920437,90.69,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1,-2.5,-2.8,,,,0.6,0.3,0.9,,,,3.8,2.2,-1.2,,,,10.7,9.4,10.3,,,,21.6,18.5,19.5,,,,41.1,46.1,42.3,,,,62.9,63.1,63.7,,,,77.4,77.8,79.7,,,,84.7,83.6,65.5,,,,88.3,87.8,89.9,,,
